name,ingredients,effect,dosage,caution,nation,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motrin IB, Ibuprofen,Pain reliever/fever reducer,adults and children 12 years and older: take 1 or 2 caplets every 4 to 6 hours while symptoms persist. do not exceed 6 caplets in 24 hours.,"Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. This product contains an NSAID, which may cause severe stomach bleeding and  increase the risk of heart attack, heart failure, and stroke. Do not use if you are taking a diuretic.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEVE PM,"Diphenhydramine hydrochloride, Naproxen sodium","Nighttime sleep-aid, pain reliever",Just Two pills at bedtime. Each pill has the strength to last 12 hours.,"When using this product, drowsiness will occur, avoid alcoholic drinks. This product contains an NSAID, which may cause severe stomach bleeding. Allergy alert; Naproxen sodium may cause a severe allergic reaction. Do not use if you have no time for a full night's sleep, or in children under 12 years of age or right before or after heart surgery.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alka-Seltzer Gold,"Alka-Seltzer Gold, Potassium bicarbonate, Sodium bicarbonate","Provides powerful maximum relief from your worst symptoms of nasal & sinus congestion, mucus, headache, body Pain and cough","adults and children 12 years and over: 2 tablets every 4 hours as needed, or asdirected by a doctor",Ask a doctor before use if you have kidney disease or a potassium or sodium-restricted diet.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodys Back and Body Pain,"Acetaminophen, Aspirin",Pain reliever/fever reducer,"adults and children 12 years of age and over: place 1 powder on tongue every 6 hours, while symptoms persist. do not take more than 4 powders in 24 hours.","Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. Allergy alert: Aspirin may cause a severe allergic reaction. This product contains acetaminophen. Severe liver damage may occur. This product contains an NSAID, which may cause severe stomach bleeding.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excedrin," Acetaminophen, Aspirin (Nsaid*), Caffeine (65 Mg)",pain relief,adults and children 12 years and over: take 2 caplets every 6 hours; not more than 8 caplets in 24 hours,"Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. Acetaminophen may cause severe skin reactions. Aspirin may cause a severe allergic reaction. This product contains acetaminophen. Severe liver damage may occur. This product contains an NSAID, which may cause severe stomach bleeding.  Caffeine warning: The recommended dose of this product contains about as much caffeine as a cup of coffee. ",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagamet,Cimetidine ,Acid reducer; Provides effective relief and prevention of heartburn and acid indigestion,"adults and children 12 years and older: To relieve symptoms, swallow 1 tablet with a glass of water. To prevent symptoms, swallow 1 tablet with a glass of water right before or any time up to 30 minutes before eating food or drinking beverages that cause heartburn. Do not take more than 2 tablets in 24 hours.",Ask a doctor or pharmacist before use if you are taking a prescription drug. Do not use if you are allergic to cimetidine or other acid reducers. Ask a doctor before use if you have frequent chest pain or lightheadedness or dizziness.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepcid AC,Famotidine,Acid reducer; relieves heartburn associated with acid indigestion and sour stomach,"adults and children 12 years and over: To relieve symptoms, swallow 1 tablet. To prevent symptoms, swallow 1 tablet  at any time from 15 to 60 minutes before eating that cause heartburn. Drink with water. Do not use more than 2 tablets in 24 hours.","Ask a doctor or pharmacist before use if you are taking a prescription drug. Ask doctor before if you have chest pain or heartburn with lightheadedness, sweating, or dizziness. Do not use if you are allergic to famotidine or other acid reducers.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claritin,Loratadine ,"Relief of your worst allergy symptoms including sneezing, runny nose, itchy/watery eyes and itchy throat/nose",1 capsule daily; not more than 1 capsule in 24 hours,Taking more than directed may cause drowsiness. Ask a doctor before use if you have liver or kidney disease.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cepacol,"Benzocaine , Menthol ",ORAL PAIN RELIEF: Contains Benzocaine and Menthol that help relieve your oral pain,One Lozenge every 2 Hours,"Stop use and ask a dentist if you have painful or swollen gums, pus from the gum line, loose teeth, or increasing spacing between the teeth.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mucinex Fast-Max,"Acetaminophen, Dextromethorphan Hbr, Guaifenesin , Phenylephrine Hci ","Relieves Aches and Pain, Fever, Sore Throat, Sinus Pressure, Nasal & Chest Congestion, Sinus Congestion, and Controls Cough",Adults and children 12 years of age and older take 2 liquid gels every 4 hours. Do not take more than 12 liquid gels in any 24-hour period.,Avoid taking other products that have acetaminophen in them.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JET ALERT Double Strength,caffeine,"Alertness Aid,Helps restore mental alertness or wakefulness when experiencing fatigue or drowsiness","over age 12: oral dosage is 1 caplet. After the initial dosage, 1 caplet every 3 hours should be sufficient.",Do not take this product without consulting a physician if under medical care. KEEP THIS AND ALL DRUGS OUT OF REACH OF CHILDREN.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titralac Plus,"Calcium carbonate ,Simethicone","Antacid, Antigas; relieves symptoms referred to as gas.","chew, swallow or let melt in mouth two tablets every two or three hours as symptoms occur",Ask a doctor or pharmacist before use if you are taking a prescription drug. Antacids may interact with certain prescription drugs.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolex Forte,"ACETAMINOPHEN , ASPIRIN , CAFFEINE",Pain reliever,adults and children 12 years and over: take 4 to 8 tablets every 4 hours; do not exceed 48 tablets in 24 hours,"Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. And Acetaminophen may cause severe skin reactions and allergic reaction. This product contains an NSAID, which may cause severe stomach bleeding. Caffeine warning: The recommended dose of this product contains about as much caffeine as a cup of coffee.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domeboro,"Aluminum sulfate tetradecahydrate, Calcium acetate monohydrate",Astringent; temporarily relieves minor skin irritations,dissolve 1 to 3 packets in a pint (16 oz) of cool or warm water,"If contact occurs, rinse thoroughly with water. Do not cover compress or wet dressing with plastic to prevent evaporation.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Differin,ADAPALENE,acne treatment,"Adults and children 12 years of age and older: use once daily, cover the entire affected area with a thin layer.","Do not use if you are allergic to adapalene or any of the ingredients in this product. When using this product
limit sun exposure. During the early weeks of use, your acne may appear to worsen before it improves (this is normal). It may take up to 3 months of once daily use to see results.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortinia,Clotrimazole,Antifungal; cures most athlete¡¯s foot infections and ringworm infections ,"apply one drop to the affected area twice daily (morning and night) using a disposable cotton swab. For athlete¡¯s foot and ringworm infections, use daily for 4 weeks.","When using this product, avoid contact with eyes. If contact occurs, rinse eyes thoroughly with water.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fedrin,"ACETAMINOPHEN,  Phenylephrine HCl","Pain reliever/fever reducer, Nasal decongestant; For temporary relief of nasal congestion associated with sinusitis.","Adults and children: (12 years and older) Take 2 tablets with water every 6 hours as needed. Do not take more than 8 tablets in 24 hours, or as directed by doctor.",Ask a doctor before use if you have: heart diseases. Liver Warning: This product contains acetaminophen.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Femmesil,Clotrimazole,Vaginal Antifungal,"Adults and children 12 years and over: Apply 2-3 times daily for up to 3 days or longer, as needed. ","For vaginal use only. Do not use tampons, douches, spermicides, or other vaginal products. Do not have vaginal intercourse. Mild increase in vaginal burning, itching or irritation may occur.Do not use if you have never had a vaginal yeast infection diagnosed by a doctor.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winco Antifungal,CLOTRIMAZOLE,"Antifungal; cures most athlete's foot, jock itch, and ringowrm","apply a thin layer over affected area twice daily (morning and night). For athlete's foot and ringworm, use daily for 4 weeks.","If swallowed, get medical help or contact a Poison Control Center right away",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAL ZYR D,"Cetirizine HCl , Pseudoephedrine HCl","Antihistamine, Nasal decongestant; temporarily relieves these symptoms due to hay fever or other respiratory allergies.",adults and children 12 years and over: take 1 tablet every 12 hours; do not take more than 2 tablets in 24 hours.,"Do not use if you have ever had an allergic reaction to this product or any of its ingredients or to an antihistamine containing hydroxyzine, or have heart diseases. When using this product, drowsiness may occur. Avoid alcoholic drinks.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucky SuperSoft,"Mineral Oil, Petrolatum, Phenylephrine HCL","Protectant, Protectant, Vasoconstrictor; temporarily provides a coating for relief of anorectal discomforts","apply to the affected area up to 4 times daily, especially at night, in the morning or after each bowel movement. Also apply ointment to external area.",Ask a doctor or pharmacist before use if you are presently taking a prescription drug for high blood pressure or depression.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kay Actigel,Ethanol,Antiseptic handwash,Spread by rubbing hands together,"Flammale, keep away from fire or flame, heat, sparks and sources of static discharge.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaopectate,Bismuth subsalicylate,"Anti-diarrheal, Upset stomach reliever",adults and children 12 years of age and older: 2 caplets. Do not chew. do not exceed 8 doses in 24 hours,"Children and teenagers who have or are recovering from chicken pox or flu-like symptoms should not use this product. Allergy Alert: Contains salicylate. When using this product, a temporary, but harmless, darkening of the stool and/or tongue may occur.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kroger Jock Itch,Clotrimazole,Antifungal; cures most jock itch,apply a thin layer over affected area twice daily (morning and night),Stop use and ask a doctor if irritation occurs. This product is not effective on the scalp or nails.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y-TUSS,"Brompheniramine Maleate , Chlophedianol Hydrochloride, Pseudoephedrine Hydrochloride","Antihistamine, Cough Suppressant, Nasal Decongestant","Adults and children 12 years of age and over: 2 teaspoonfuls (10 mL) every 6 hours, not to exceed 8 teapoonfuls (40 mL) in 24 hours.","When using this product, marked drowsiness may cause, and excitability may occur especially in children. Avoid alcoholic drinks. nervousness, dizziness, or sleeplessness may occur. Do not use if you have a cough that lasts or is chronic such as occurs with smoking, asthma or heart diseases, glaucoma...",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urinary Pain Relief,Phenazopyridine HCl,"Urinary Tract Analgesic; fast relief from urinary pain, burning, urgency and frequency associated with urinary tract infections.","adults and children 12 years of age and over: Take 2 tablets 3 times daily with a full glass of water, with or after meals as needed for up to two days.","Ask a doctor if you have Glucose-6-Phosphate Dehydrogenase (G6PD) deficiency or allergies to foods, preservatives. When using this product stomach upset may occur, taking this product with or after meals may reduce stomach upset and your urine will become reddish-orange in color.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POPOQ,HYPOCHLOROUS ACID,"Sanitizer, disinfectant; Conveniently sanitizing your hands and eliminating 99.9% of harmful bacteria & virus and Provides care and moisture to your skin.",Shake lightly and spray with 20cm distance for 3-5 times from the object.,"Store Below 30 degree Celsius, non flammable. Do not adulterate or dilute.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pranicura,"Glycerin,Kaolin,Calamine,Menthol",Protectant/Anti-Itch/Analgesic," Adults: When practical, cleanse the affected area by patting or blotting with an appropriate cleansing wipe. If the desire to scratch continues, apply a fingertip amount of ointment, rub or lightly scratch (with fingertip, not fingernails) until the itch is satisfied.",For rectal use only,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro-Den Rx,STANNOUS FLUORIDE,anticavity and relief of dentin sensitivity,paste ,When using this product it may produce surface staining of the teeth. Adequate toothbrushing needed.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloresin,"Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","Pain reliever/fever reducer, Cough suppressant, Expectorant, Nasal decongestant",Adults and children: (12 years and older) Take 2 tablets with water every 6-8 hours as needed. Do not take more than 8 tablets in 24 hours.,"Severe liver damage may occur if you take more than 8 tablets in 24 hours, or  if you have 3 or more alcoholic drinks every day. Stop use and ask a doctor if: you get nervous, dizzy or sleepless, cough lasts more than 7 days.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CopperFixx,Capsaicin,Topical Analgesic; For the temporary relief of minor aches and pains of muscles and joints.,"Ointment. For Adults and children over 18 years or older; apply to affected area and massage. Repeat as necessary, but no more than 3 to 4 times daily",Do not bandage and do not use with heating pad.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cortisone,HYDROCORTISONE,"Anti-itch; temporarily relieves itching associated with minor skin irritations, rashes, and inflammation due to eczema",Lotion/ adults and children 2 years of age and older: apply to affected area not more than 3 to 4 times daily.,"If condition worsens, do not begin use of any other hydrocortisone product unless you have asked a doctor.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enamelon,Stannous fluoride,Anticavity/Sensitivity Relief/Antigingivitis : Aids in the prevention of cavities and gingivitis,"paste, dentifrice","Do not use if gingivitis, bleeding, or redness persists for more than 2 weeks, see your dentist. Do not swallow more than used for brushing.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ephed plus,"EPHEDRINE HYDROCHLORIDE, GUAIFENESIN","Bronchodilator, Expectorant; for temporary relief of mild symptoms of intermittent asthma.","adults and children 12 years of age and over: 1 tablet every 4 hours as needed, do not take more than 6 tablets in 24 hours","Do not use children under 12 years of age. Do not use unless a doctor said you have asthma or if you are now taking a prescription monoamine oxidase inhibitor (MAOI). And your blood pressure or heart rate may go up.  This could increase your risk of heart attack or stroke, which may cause death. Avoid food or beverages that contain caffeine. See a doctor if you are not better in 60 minutes.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EasyLax,POLYETHYLENE GLYCOL,"Osmotic laxative; relieves occasional constipation (irregularity), generally produces a bowel movement in 1 to 3 days","adults and children 17 years of age and older: stir and dissolve in any 4 to 8 ounce of beverage, use once a day, use no more than 7 days.","Allergy alert: Do not use if you are allergic to polyethylene glycol. When using this product, you may have loose, watery, more frequent stools. Stop use and ask a doctor if you have rectal bleeding or your nausea, bloating, cramping or abdominal pain gets worse.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M-PAP,ACETAMINOPHEN,Pain Reliever / Fever Reducer,adults and children 12 years of age and older: take 2 teaspoonfuls (10 mL) every 6 hours; do not exceed 8 teaspoonfuls (40 mL) in 24 hours.,Liver Warning: This product contains acetaminophen. Severe liver damage may occur if you take more than maximum daily amount. Do not use with any other drug containing acetaminophen.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imodium A-D,Loperamide,"Anti-diarrheal; controls symptoms of diarrhea, including Travelers' Diarrhea",adults and children 12 years and over: 30 mL after the first loose stool; 15 mL after each subsequent loose stool; but no more than 60 mL in 24 hours,"Do not use if you have ever had a rash or other allergic reaction to loperamide HCl or have bloody / black stool. When using this product tiredness, drowsiness or dizziness may occur. Be careful when driving or operating machinery.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivarest,"Zinc Oxide, Benzyl Alcohol, Diphenhydramine Hydrochloride","For the temporary relief of pain and itching associated with poison ivy, poison oak, poison sumac, insect bites or minor skin irritations. Dries the oozing and weeping of poison: ivy, oak, sumac",Cream; Adults and children 2 years and older: apply to affected area not more than 3 to 4 times daily.,Do not use on large areas of the body and with any other product containg diphenhydramine. ,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isodine Copitos, Povidone-Iodine,"Antiseptic; Uses First aid to help prevent infection due to minor cuts, scrapes and burns.","Apply the product to the affected area. For minor wounds, burns and infections, apply directly to affected area. May be covered with a bandage.",Do not use if you are sensitive to Iodine. Keep out of eyes and ear canal.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Vaginal,BENZALKONIUM CHLORIDE,antimicrobial: for vaginal cleansing. Kills germs.,"Insert the gel into the vagina when cleansing is desired, one unit (5.5ml) each time."," After exposure to a STD Stop using this product stop using this product and consult a doctor if douching results in pain, soreness, swelling, redness, itching excessive dryness or irritation, or symptoms continue after 7 days.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Tussin DM,"Guaifenesin, DEXTROMETHORPHAN HYDROBROMIDE ",Cough Suppressant: temporarily relieves cough due to minor throat and bronchial irritation as may occur with the common cold and helps loosen phlegm (mucus) and thin bronchial sections to make coughs more productive.,"?Use dose cup or tablespoon, adults & children 12 Years of age or more: 2 tablespoonfuls (30mL) every 4 hours. ?Do not exceed 6 doses in 24 hours","Do not use If you are now taking a prescription monoamine oxidase inhibitor (MAOI), or for 2 weeks after stopping the MAOI drug. ?If pregnant or breast-feeding, ask health professional before use.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEB Antifungal,Clotrimazole,"Antifungal: cures most athlete's foot, jock itch and ringworm/ relieves itching, burning, cracking, scaling and discomfort which accompany these conditions",cream,"For external use only. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heeltastic,DIMETHICONE,Skin Protectant: helps to relieve cracking and chapping/ temporarily protects cracked skin,Stick,"Do not use on: Deep or puncture wounds, animal bites, serious burns. If swallowed, get medical help or contact a Poison Control Center right away.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hielo Ardiente,Menthol,Analgesic,GEL,For external use only. Do not apply to open wounds or damaged skin. Do not use with heating pads or heating devices,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HempNesic,"MENTHOL, CAMPHOR (SYNTHETIC) ","Topical Analgesic. For temporary relief from minor aches and pains of sore muscles and joints asociated with arthritis pain, backache, strains, sprains.",PAIN-RELIEVING GEL,Keep away from excessive heat or open flame. Ask a doctor before use if you have Sensitive skin.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIcerease,"UNDECYLENIC ACID, ZINC UNDECYLENATE","topical antifungal(cures athletes foot (dermatophytosis), clears up ringworm (tinea corporis),cures jock itch (tinea cruris))",ointment,Avoid contact with the eyes. Do not use on children under 2 years of age and for diaper rash.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xerac AC,ALUMINUM CHLORIDE,For topical application as an antiperspirant (anhidrotic).,"Xerac AC when applied to the underarms, should be applied to absolutely dry skin. Only apply Xerac AC before bedtime, since medication should be kept on the skin for 6-8 hours.","For external use only. Avoid contact with eyes. If contact occurs, wash eyes thoroughly with water. Xerac AC may be harmful to cotton fibers and certain metals.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAPOREX,"CAMPHOR (SYNTHETIC),EUCALYPTUS OIL, MENTHOL","on chest and throat, for the temporary relief of cough due to the common cold / on muscles and joints, for the temporary relief of minor aches and pains",ointment,For external use only; avoid contact with eyes. Ask a doctor before use if you have cough that occurs with too much phlegm (mucus). ,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitacilina,NEOMYCIN SULFATE,Frist aid to help prevent infection in* minor cuts*scrapes*burns,ointment,DO NOT USE In the eyes or apply over large areas of the body.,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simethicone,Simethicone,"relieves bloating, pressure or fullness commonly referred to as gas",swallow one or two softgels as needed after a meal,"If pregnant or breast-feeding, ask a health professional before use.
Keep out of reach of children.",en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
